CINT2006,"Sun Microsystems","Sun SPARC Enterprise M3000",14.8,13.6,4,1,4,2,"SPARC64 VII",2750,,"1 chip",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","5 MB I+D on chip per chip",None,None,"16 GB (8 x 2 GB), 2-way interleaved","Solaris 10 10/09 with patch 119963-18",ufs,"Sun Studio 12 Update 1",Jan-2010,Oct-2009,6,Fujitsu,"Sun Microsystems",Oct-2009,Jan-2010,Jul-2014,
CINT2006,"Sun Microsystems","Sun SPARC Enterprise M4000",10.8,9.29,8,4,2,2,"SPARC64 VI",2150,,"1 or 2 CPUM; each CPUM contains 2 CPU chips",No,32-bit,32-bit,"128 KB I + 128 KB D on chip per core","5 MB I+D on chip per chip",None,None,"16 GB (16 x 1 GB, see notes for details)","Solaris 10 11/06",ufs,"Sun Studio 12 (Early Access)",Apr-2007,May-2007,6,"Fujitsu Limited","Sun Microsystems",Mar-2007,May-2007,Jul-2014,
CINT2006,"Sun Microsystems","Sun SPARC Enterprise M4000",12.9,12.1,16,4,4,2,"SPARC64 VII",2530,,"1 to 2 CPUMs; each CPUM contains 2 CPU chips",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","5632 KB I+D on chip per chip",None,None,"64 GB (32 x 2 GB), 8-way interleaved","Solaris 10 5/09 with patches 119963-16,, 120753-07, 118683-03",ufs,"Sun Studio 12 Update 1",Nov-2009,Jul-2009,6,"Fujitsu Limited","Sun Microsystems",Sep-2009,Oct-2009,Jul-2014,
CINT2006,"Sun Microsystems","Sun SPARC Enterprise M8000",10.7,9.19,32,16,2,2,"SPARC64 VI",2280,,"1 to 4 CMUs; each CMU contains 2 or 4 chips",No,32-bit,32-bit,"128 KB I + 128 KB D on chip per core","5 MB I+D on chip per chip",None,None,"64 GB (64 x 1 GB, see notes for details)","Solaris 10 11/06",ufs,"Sun Studio 12 (Early Access)",Apr-2007,May-2007,6,"Fujitsu Limited","Sun Microsystems",Mar-2007,May-2007,Jul-2014,
CINT2006,"Sun Microsystems","Sun SPARC Enterprise M8000",11.3,9.71,32,16,2,2,"SPARC64 VI",2400,,"1 to 4 CMUs; each CMU contains 2 or 4 chips",No,32-bit,32-bit,"128 KB I + 128 KB D on chip per core","6 MB I+D on chip per chip",None,None,"64 GB (64 x 1 GB, see notes for details)","Solaris 10 11/06",ufs,"Sun Studio 12 (Early Access)",Apr-2007,May-2007,6,"Fujitsu Limited","Sun Microsystems",Mar-2007,May-2007,Jul-2014,
CINT2006,"Sun Microsystems","Sun SPARC Enterprise M8000",13.6,12.4,64,16,4,2,"SPARC64 VII",2880,,"1 to 4 CMUs; each CMU contains 2 or 4 chips",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","6 MB I+D on chip per chip",None,None,"384 GB (64 x 2 GB + 64 x 4 GB), 8-way interleaved","Solaris 10 5/09 with patches 119963-13,, 120753-06, 118683-03",ufs,"Sun Studio 12 Update 1",Nov-2009,Jun-2009,6,"Fujitsu Limited","Sun Microsystems",Jul-2009,Oct-2009,Jul-2014,
CINT2006,"Sun Microsystems","Ultra Enterprise 2",0,1,2,2,1,1,"UltraSPARC II",296,,"1-2 chips",No,32-bit,"Not Applicable","16 KB I + 16 KB D on chip per chip","2 MB I+D off chip per chip",None,None,"2 GB","Solaris 10 3/05",ufs,"Sun Studio 11",Apr-1997,Oct-2005,6,"Sun Microsystems","Sun Microsystems",Mar-2006,Aug-2006,Jul-2014,
CFP2006,Fujitsu,"Fujitsu SPARC Enterprise M3000",15.9,15.2,4,1,4,2,"SPARC64 VII",2750,,"1 chip",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","5 MB I+D on chip per chip",None,None,"16 GB (8 x 2 GB), 2-way interleaved","Solaris 10 10/09 with patch 119963-18",ufs,"Sun Studio 12 Update 1",Jan-2010,Oct-2009,19,Fujitsu,Fujitsu,Oct-2009,Jan-2010,Jul-2014,
CFP2006,Fujitsu,"Fujitsu SPARC Enterprise M4000",13.9,13.3,16,4,4,2,"SPARC64 VII",2530,,"1 to 2 CPUMs; each CPUM contains 2 CPU chips",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","5632 KB I+D on chip per chip",None,None,"64 GB (32 x 2 GB), 8-way interleaved","Solaris 10 5/09 with patches 119963-16,, 120753-07, 118683-03",ufs,"Sun Studio 12 Update 1",Nov-2009,Jul-2009,19,Fujitsu,Fujitsu,Oct-2009,Oct-2009,Jul-2014,
CFP2006,Fujitsu,"Fujitsu SPARC Enterprise M8000",16.5,15.6,64,16,4,2,"SPARC64 VII",2880,,"1 to 4 CMUs; each CMU contains 2 or 4 CPU chips",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","6 MB I+D on chip per chip",None,None,"384 GB (64 x 2 GB + 64 x 4 GB), 8-way interleaved","Solaris 10 5/09 with patches 119963-13,, 120753-06, 118683-03",ufs,"Sun Studio 12 Update 1",Nov-2009,Jun-2009,19,Fujitsu,Fujitsu,Jul-2009,Oct-2009,Jul-2014,
CFP2006,Fujitsu,"Fujitsu SPARC Enterprise M8000",33.9,28.2,64,16,4,2,"SPARC64 VII",2880,,"1 to 4 CMUs; each CMU contains 2 or 4 CPU chips",Yes,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","6 MB I+D on chip per chip",None,None,"384 GB (64 x 2 GB + 64 x 4 GB), 8-way interleaved","Solaris 10 5/09 with patches 119963-13,, 120753-06, 118683-03",ufs,"Sun Studio 12 Update 1",Nov-2009,Jun-2009,19,Fujitsu,Fujitsu,Jul-2009,Oct-2009,Jul-2014,
CFP2006,Fujitsu,"SPARC Enterprise M3000",18.9,17.9,4,1,4,2,"SPARC64 VII+",2860,,"1 chip",No,32-bit,32-bit,"64 KB I + 64 KB D on chip per core","5632 KB I+D on chip per chip",None,None,"32 GB (8 x 4 GB, 2-way interleaved)","Oracle Solaris 10 9/10",ufs,"Oracle Solaris Studio 12.2",Apr-2011,Sep-2010,19,Fujitsu,Fujitsu,Feb-2011,Apr-2011,Jul-2014,
